"tenantId","siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhImp","battery_200_IncWhExp","battery_200_IncWhImp","battery_200_TotWhExp","battery_200_TotWhImp","battery_200_W","battery_701_DailyWhAbs","battery_701_DailyWhInj","battery_701_Hz","battery_701_IncWhAbs","battery_701_IncWhExp","battery_701_IncWhImp","battery_701_IncWhInj","battery_701_LNV","battery_701_TotWhAbs","battery_701_TotWhInj","battery_701_W","battery_713_SoC","battery_713_SoH","battery_714_DCW","battery_714_DCWhAbs","battery_714_DCWhInj","battery_714_TotWhAbs","battery_714_TotWhInj","grid_200_DailyWhExp","grid_200_DailyWhImp","grid_200_IncWhExp","grid_200_IncWhImp","grid_200_TotWhExp","grid_200_TotWhImp","grid_200_W","inverter_701_DailyWhAbs","inverter_701_DailyWhInj","inverter_701_Hz","inverter_701_LNV","inverter_701_TotWhAbs","inverter_701_TotWhInj","inverter_701_W","load_200_DailyWhExp","load_200_DailyWhImp","load_200_IncWhExp","load_200_IncWhImp","load_200_TotWhExp","load_200_TotWhImp","load_200_W","pv_200_DailyWhExp","pv_200_IncWhExp","pv_200_IncWhImp","pv_200_TotWhExp","pv_200_TotWhImp","pv_200_W","pv_701_DailyWhAbs","pv_701_Hz","pv_701_IncWhAbs","pv_701_IncWhExp","pv_701_IncWhImp","pv_701_IncWhInj","pv_701_LNV","pv_701_TotWhAbs","pv_701_TotWhInj","pv_701_W","pv_714_DCW","pv_714_DCWhAbs","pv_714_DCWhInj","pv_714_IncDCWhAbs","pv_714_IncDCWhInj","time1d","time1mo","time1y","createdAtUTC"
"","100001646","100001646","qcells","2026-03-05 06:18:22.000","","","0","0","0","0","","","","","0","","","0","","0","0","","","","","","","","","0","288","0","14","18,685","99,722","830.6900024414062","","","","","","","","","286","0","14","0","294,440","827","0","0","0","213,992","0","-2","","","0","","","0","","0","0","","","0","0","0","0","5","3","2,026","2026-03-05 06:18:49.6539587"
"","100001737","100001737","qcells","2026-03-05 06:18:23.000","","","0","0","0","0","","","","","0","","","0","","0","0","","","","","","","","","0","716","0","3","0","447,976","249.1499938964844","","","","","","","","","710","0","3","0","747,964","246","0","0","0","302,429","0","-2","","","0","","","0","","0","0","","","0","0","0","0","5","3","2,026","2026-03-05 06:18:49.6539587"
"","100000738","100000738","qcells","2026-03-05 06:18:29.000","","","0","0","0","0","","","","","0","","","0","","0","0","","","","","","","","","512","182,489","1","0","24,168","523,099","-50.310001373291016","","","","","","","","","254,873","0","0","0","7,279,685","0","73,127","0","0","6,964,199","0","-7","","","0","","","0","","0","0","","","0","0","0","0","5","3","2,026","2026-03-05 06:18:49.6539587"
"","100001586","100001586","qcells","2026-03-05 06:18:37.000","","","0","0","0","0","","","","","0","","","0","","0","0","","","","","","","","","0","412","0","5","2,767,890","1,231,543","291.9599914550781","","","","","","","","","423","0","5","0","2,017,595","289","0","0","0","3,603,769","0","-2","","","0","","","0","","0","0","","","0","0","0","0","5","3","2,026","2026-03-05 06:18:49.6539587"
"","100001574","100001574","qcells","2026-03-05 06:18:46.000","","","0","0","0","0","","","","","0","","","0","","0","0","","","","","","","","","0","105","0","6","1,805,623","3,584,254","314.32000732421875","","","","","","","","","101","0","5","0","3,807,718","312","0","0","0","2,404,072","0","-1","","","0","","","0","","0","0","","","0","0","0","0","5","3","2,026","2026-03-05 06:18:49.6539587"
