"siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhExp_dl","battery_200_DailyWhImp","battery_200_DailyWhImp_dl","battery_200_IncWhExp","battery_200_IncWhExp_dl","battery_200_IncWhImp","battery_200_IncWhImp_dl","battery_200_TotWhExp","battery_200_TotWhExp_dl","battery_200_TotWhImp","battery_200_TotWhImp_dl","battery_200_W","battery_200_W_dl","battery_713_SoC","battery_713_SoC_dl","battery_713_SoH","battery_713_SoH_dl","grid_200_DailyWhExp","grid_200_DailyWhExp_dl","grid_200_DailyWhImp","grid_200_DailyWhImp_dl","grid_200_IncWhExp","grid_200_IncWhExp_dl","grid_200_IncWhImp","grid_200_IncWhImp_dl","grid_200_TotWhExp","grid_200_TotWhExp_dl","grid_200_TotWhImp","grid_200_TotWhImp_dl","grid_200_W","grid_200_W_dl","load_200_IncWhExp","load_200_IncWhExp_dl","load_200_IncWhImp","load_200_IncWhImp_dl","load_200_TotWhExp","load_200_TotWhExp_dl","load_200_TotWhImp","load_200_TotWhImp_dl","load_200_W","load_200_W_dl","pv_200_DailyWhExp","pv_200_DailyWhExp_dl","pv_200_IncWhExp","pv_200_IncWhExp_dl","pv_200_IncWhImp","pv_200_IncWhImp_dl","pv_200_TotWhExp","pv_200_TotWhExp_dl","pv_200_TotWhImp","pv_200_TotWhImp_dl","pv_200_W","pv_200_W_dl"
"400000665","400000665","tesla","2026-04-01 23:36:31.000","","VALID","","VALID","1","VALID","0","VALID","15,010,337","VALID","17,889,810","VALID","50","VALID","100","VALID","","VALID","","VALID","","VALID","15.5","VALID","3.5","VALID","6,381,299","VALID","7,622,199","VALID","3","VALID","0","VALID","487","VALID","0","VALID","18,908,577","VALID","5,871","VALID","","VALID","498","VALID","0","VALID","20,547,150","VALID","0","VALID","5,818","VALID"
"400002048","400002048","solax","2026-04-01 23:36:43.000","","VALID","","VALID","100","VALID","0","VALID","3,265,500","VALID","3,613,600","VALID","612","VALID","97","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","5,562,500","VALID","8,917,800","VALID","0","VALID","0","VALID","100","VALID","0","VALID","15,290,900","VALID","2,852","VALID","","VALID","200","VALID","0","VALID","12,283,700","VALID","0","VALID","2,240","VALID"
"400001477","400001477","solax","2026-04-01 23:40:00.000","","VALID","","VALID","0","VALID","0","VALID","3,398,500","VALID","3,666,800","VALID","0","VALID","99","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","2,731,300","VALID","3,230,900","VALID","-2,066","VALID","0","VALID","100","VALID","0","VALID","9,750,200","VALID","722","VALID","","VALID","200","VALID","0","VALID","9,518,900","VALID","0","VALID","2,788","VALID"
"400002030","400002030","solax","2026-04-01 23:40:00.000","","VALID","","VALID","300","VALID","0","VALID","22,738,000","VALID","13,273,300","VALID","3,700","VALID","56","VALID","","VALID","","VALID","","VALID","0","VALID","100","VALID","5,503,000","VALID","136,283,000","VALID","2,013","VALID","0","VALID","400","VALID","0","VALID","156,038,200","VALID","6,161","VALID","","VALID","100","VALID","0","VALID","27,672,000","VALID","0","VALID","448","VALID"
"400002056","400002056","solax","2026-04-01 23:40:00.000","","VALID","","VALID","0","VALID","0","VALID","2,031,200","VALID","2,744,400","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","200","VALID","0","VALID","12,765,600","VALID","1,010,300","VALID","-1,586","VALID","0","VALID","99","VALID","0","VALID","3,859,500","VALID","951","VALID","","VALID","200","VALID","0","VALID","16,327,900","VALID","0","VALID","2,537","VALID"
"400002333","400002333","solax","2026-04-01 23:40:00.000","","VALID","","VALID","0","VALID","100","VALID","2,214,400","VALID","2,436,900","VALID","-491","VALID","27","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","4,604,700","VALID","4,160,200","VALID","-387","VALID","0","VALID","0","VALID","0","VALID","3,492,200","VALID","97","VALID","","VALID","0","VALID","0","VALID","4,159,100","VALID","0","VALID","781","VALID"
"400002054","400002054","solax","2026-04-01 23:40:01.000","","VALID","","VALID","0","VALID","0","VALID","7,290,400","VALID","4,379,300","VALID","278","VALID","99","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","8,275,000","VALID","5,287,000","VALID","0","VALID","0","VALID","100","VALID","0","VALID","20,291,600","VALID","1,290","VALID","","VALID","100","VALID","0","VALID","24,279,600","VALID","0","VALID","1,012","VALID"
"400003690","400003690","solax","2026-04-01 23:40:01.000","","VALID","","VALID","0","VALID","300","VALID","6,541,899","VALID","5,420,000","VALID","-1,573","VALID","99.5","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","32,138,800","VALID","18,185,000","VALID","-1,067","VALID","0","VALID","100","VALID","0","VALID","45,964,499","VALID","1,056","VALID","","VALID","200","VALID","0","VALID","51,949,700","VALID","0","VALID","3,696","VALID"
"400001489","400001489","solax","2026-04-01 23:40:02.000","","VALID","","VALID","0","VALID","0","VALID","6,292,300","VALID","6,897,300","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","26,347,500","VALID","23,328,100","VALID","-1,190","VALID","0","VALID","0","VALID","0","VALID","13,977,899","VALID","620","VALID","","VALID","200","VALID","0","VALID","17,602,300","VALID","0","VALID","1,810","VALID"
"400002048","400002048","solax","2026-04-01 23:46:44.000","","VALID","","VALID","100","VALID","0","VALID","3,265,600","VALID","3,613,600","VALID","920","VALID","96","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","5,562,600","VALID","8,917,900","VALID","0","VALID","0","VALID","300","VALID","0","VALID","15,291,300","VALID","2,874","VALID","","VALID","200","VALID","0","VALID","12,284,000","VALID","0","VALID","1,954","VALID"
"400001760","400001760","solax","2026-04-01 23:48:38.000","","VALID","","VALID","0","VALID","0","VALID","13,000","VALID","33,000","VALID","0","VALID","0","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","15,620,200","VALID","5,728,600","VALID","-1,706","VALID","0","VALID","300","VALID","0","VALID","23,976,400","VALID","6,168","VALID","","VALID","400","VALID","0","VALID","33,888,000","VALID","0","VALID","4,462","VALID"
"400001859","400001859","solax","2026-04-01 23:50:00.000","","VALID","","VALID","0","VALID","0","VALID","4,849,800","VALID","2,937,300","VALID","-273","VALID","62","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","21,990,800","VALID","751","VALID","","VALID","100","VALID","0","VALID","22,654,600","VALID","0","VALID","1,024","VALID"
