"evt_id","evt_start_time","evt_end_time","command","ts_time","energy_charged","energy_discharged","energy_imported","energy_exported","battery_power","aggregate_load","aggregate_pv","sites_participation","missing_power_count"
"1b55ba12-07eb-4b55-b29c-4947002f04b2","2026-02-11 21:00:00.000","2026-02-11 22:00:00.000","","2026-02-11 21:00:00.000","738,232","71,916","233,560.8125","451,575.65625","-2,504,337.022","3,309,887.423","5,950,062.501","0","284"
"1b55ba12-07eb-4b55-b29c-4947002f04b2","2026-02-11 21:00:00.000","2026-02-11 22:00:00.000","","2026-02-11 21:15:00.000","1,402,168","148,786","480,533.8125","910,950.28125","-2,292,501.75","3,259,889.333","5,773,762.387","0","274"
"1b55ba12-07eb-4b55-b29c-4947002f04b2","2026-02-11 21:00:00.000","2026-02-11 22:00:00.000","","2026-02-11 21:30:00.000","2,061,787","224,441","723,506.75","1,389,256.4375","-2,329,505.929","3,279,594.804","5,876,418.429","0","277"
"1b55ba12-07eb-4b55-b29c-4947002f04b2","2026-02-11 21:00:00.000","2026-02-11 22:00:00.000","","2026-02-11 21:45:00.000","2,675,601","299,926","954,270.0625","1,873,979.875","-2,116,933.262","3,138,700.345","5,591,614.278","0","271"
