"tenantId","siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhImp","battery_200_IncWhExp","battery_200_IncWhImp","battery_200_TotWhExp","battery_200_TotWhImp","battery_200_W","battery_701_DailyWhAbs","battery_701_DailyWhInj","battery_701_Hz","battery_701_IncWhAbs","battery_701_IncWhExp","battery_701_IncWhImp","battery_701_IncWhInj","battery_701_LNV","battery_701_TotWhAbs","battery_701_TotWhInj","battery_701_W","battery_713_SoC","battery_713_SoH","battery_714_DCW","battery_714_DCWhAbs","battery_714_DCWhInj","battery_714_TotWhAbs","battery_714_TotWhInj","grid_200_DailyWhExp","grid_200_DailyWhImp","grid_200_IncWhExp","grid_200_IncWhImp","grid_200_TotWhExp","grid_200_TotWhImp","grid_200_W","inverter_701_DailyWhAbs","inverter_701_DailyWhInj","inverter_701_Hz","inverter_701_LNV","inverter_701_TotWhAbs","inverter_701_TotWhInj","inverter_701_W","load_200_DailyWhExp","load_200_DailyWhImp","load_200_IncWhExp","load_200_IncWhImp","load_200_TotWhExp","load_200_TotWhImp","load_200_W","pv_200_DailyWhExp","pv_200_IncWhExp","pv_200_IncWhImp","pv_200_TotWhExp","pv_200_TotWhImp","pv_200_W","pv_701_DailyWhAbs","pv_701_Hz","pv_701_IncWhAbs","pv_701_IncWhExp","pv_701_IncWhImp","pv_701_IncWhInj","pv_701_LNV","pv_701_TotWhAbs","pv_701_TotWhInj","pv_701_W","pv_714_DCW","pv_714_DCWhAbs","pv_714_DCWhInj","pv_714_IncDCWhAbs","pv_714_IncDCWhInj","time1d","time1mo","time1y","createdAtUTC"
"","400029108","400029108","enphase","2026-05-12 07:59:34.000","6,593","7,919","0","4","759,103","956,137","14","","","","0","","","0","","0","0","","30","100","","","","","","10,174","2,733","0","2,142","493,375","2,641,137","8,829","","","","","","","","","14,280","0","2,138","0","3,780,843","8,843","23,047","0","0","1,829,377","0","0","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 08:05:03.4630537"
"","400033526","400033526","tesla","2026-05-12 07:56:00.000","","","4","0","3,961,803","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","595.2999877929688","","","","","","","","","","0","98.5","0","8,490,432.5","601.8999876976013","","2","0","11,589,225","0","6.599999904632568","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:56:53.7024677"
"","400033526","400033526","tesla","2026-05-12 07:55:15.000","","","2","0","3,961,803","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","48.5","11,243,201","8,263,333.5","595.2999877929688","","","","","","","","","","0","51.5","0","8,490,432.5","601.4999876022339","","1","0","11,589,225","0","6.199999809265137","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:55:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","51","2,648,822","1,935,548","604.9051513671875","","","","","","","","","","0","49","0","1,592,881","568.8316040039062","","-2","0","1,455,021","0","-13.349760055541992","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:59:13.9632808"
"","400032980","400032980","solaredge","2026-05-12 07:50:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","48","2,648,822","1,935,497","622.3334350585938","","","","","","","","","","0","46","0","1,592,881","600.4540405273438","","-2","0","1,455,021","0","-19.661760330200195","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:54:09.5282657"
"","400033526","400033526","tesla","2026-05-12 07:50:00.000","","","2","0","3,961,801","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","554.2000122070312","","","","","","","","","","0","47","0","8,490,381","560.8000121116638","","1","0","11,589,224","0","6.599999904632568","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400033526","400033526","tesla","2026-05-12 07:45:35.000","","","1","0","3,961,799","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","503.3999938964844","","","","","","","","","","0","67.5","0","8,490,334","513.7999935150146","","1","0","11,589,223","0","10.399999618530272","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:46:38.9149833"
"","400033526","400033526","tesla","2026-05-12 07:45:30.000","","","1","0","3,961,799","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","503.3999938964844","","","","","","","","","","0","67.5","0","8,490,334","513.7999935150146","","1","0","11,589,223","0","10.399999618530272","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:45:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","46","2,648,822","1,935,450","484.2662353515625","","","","","","","","","","0","45","0","1,592,881","464.8727722167969","","-1","0","1,455,021","0","-22.588159561157227","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:48:59.0941121"
"","400033526","400033526","tesla","2026-05-12 07:40:59.000","","","2","0","3,961,798","4,080,728","2","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","561.4000244140625","","","","","","","","","","0","51","0","8,490,266.5","570.2000246047974","","1","0","11,589,222","0","6.800000190734863","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:41:54.5528605"
