"evt_id","evt_start_time","evt_end_time","command","ts_time","energy_charged","energy_discharged","energy_imported","energy_exported","battery_power","aggregate_load","aggregate_pv","sites_participation","missing_power_count"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","2026-05-12 07:15:00.000","2026-05-12 08:15:00.000","discharge","2026-05-12 07:15:00.000","9,353","831,647","1,808,150.890625","243,318.6875","3,075,730.66","7,569,133.606","-69,814.183","606","637"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","2026-05-12 07:15:00.000","2026-05-12 08:15:00.000","discharge","2026-05-12 07:30:00.000","19,155","1,700,049","3,636,719.796875","585,355.375","3,022,354.128","7,393,859.414","-67,539.358","606","611"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","2026-05-12 07:15:00.000","2026-05-12 08:15:00.000","discharge","2026-05-12 07:45:00.000","27,536","2,451,651","5,401,252.859375","867,606.1875","2,551,921.914","6,970,897.651","-65,462.684","606","679"
"ca0c0d89-614d-4358-b31f-2cb27a29cf5f","2026-05-12 07:15:00.000","2026-05-12 08:15:00.000","discharge","2026-05-12 08:00:00.000","36,052","3,136,302","7,165,883.890625","1,124,910.125","2,336,204.056","6,830,151.196","-61,029.07","606","615"
