"Key"
"productInfo.prodType"
"commonInfo.lastUpdatedBy.serialNum.lastUpdatedDate"
"productInfo.prodCode"
"commonInfo.lastUpdatedBy.productInfo.role"
"commonInfo.lastUpdatedBy.nameplateInfo.role"
"couplingType"
"commonInfo.lastUpdatedBy.twinDisplayName.lastUpdatedDate"
"commonInfo.lastUpdatedBy.productInfo.userName"
"nameplateInfo.wMaxRtg"
"commonInfo.lastUpdatedBy.serialNum.role"
"commonInfo.lastUpdatedBy.nameplateInfo.lastUpdatedDate"
"commonInfo.lastUpdatedBy.twinDisplayName.userName"
"twinDisplayName"
"commonInfo.lastUpdatedBy.backupType.userName"
"nameplateInfo.usableWhRtg"
"productInfo.prodName"
"nameplateInfo.whRtg"
"commonInfo.lastUpdatedBy.serialNum.userName"
"registrationNumber"
"commonInfo.lastUpdatedBy.registrationNumber.role"
"commonInfo.lastUpdatedBy.registrationNumber.userName"
"commonInfo.lastUpdatedBy.communicationType.lastUpdatedDate"
"commonInfo.lastUpdatedBy.backupType.lastUpdatedDate"
"commonInfo.lastUpdatedBy.communicationType.userName"
"commonInfo.lastUpdatedBy.twinDisplayName.role"
"commonInfo.lastUpdatedBy.couplingType.userName"
"commonInfo.lastUpdatedBy.communicationType.role"
"commonInfo.lastUpdatedBy.registrationNumber.lastUpdatedDate"
"backupType"
"commonInfo.lastUpdatedBy.nameplateInfo.userName"
"productInfo.prodMfr"
"commonInfo.lastUpdatedBy.couplingType.role"
"communicationType"
"commonInfo.lastUpdatedBy.couplingType.lastUpdatedDate"
"commonInfo.lastUpdatedBy.backupType.role"
"commonInfo.lastUpdatedBy.productInfo.lastUpdatedDate"
"commonInfo.lastUpdatedBy.siteName.role"
"commonInfo.lastUpdatedBy.siteId.lastUpdatedDate"
"commonInfo.lastUpdatedBy.address.lastUpdatedDate"
"commonInfo.lastUpdatedBy.oemInfo.lastUpdatedDate"
"address.stateProvince"
"address.location.longitude"
"assetRegistrationInfo.purchaseDate"
"commonInfo.createdBy.role"
"commonInfo.createDate"
"commonInfo.lastUpdatedBy.siteName.lastUpdatedDate"
"oemInfo.0.oemName"
"commonInfo.lastUpdatedBy.siteId.role"
"address.streetName"
"commonInfo.createdBy.userName"
"siteName"
"commonInfo.lastUpdatedBy.assetRegistrationInfo.userName"
"address.fullAddress"
"installationStatus"
"commonInfo.lastUpdatedBy.oemInfo.role"
"address.country"
"commonInfo.lastUpdatedBy.assetRegistrationInfo.role"
"address.location.timeZone"
"commonInfo.lastUpdatedBy.address.role"
"address.zipPostalCode"
"address.city"
"commonInfo.lastUpdatedBy.siteName.userName"
"commonInfo.lastUpdatedBy.installationStatus.userName"
"commonInfo.lastUpdatedBy.address.userName"
"commonInfo.lastUpdatedBy.installationStatus.lastUpdatedDate"
"assetRegistrationInfo.assetDocuments.0"
"assetRegistrationInfo.assetDocuments.1"
"commonInfo.lastUpdatedBy.assetRegistrationInfo.lastUpdatedDate"
"assetRegistrationInfo.ptoDate"
"address.location.latitude"
"siteId"
"commonInfo.lastUpdatedBy.siteId.userName"
